Izsaukuma laiks,"Pacienta vecums, gadi","Dzimums, 1 - sieviete, 2- vīrietis",Unnamed: 3,NMP pamata diagnoze: G45.9 -1; I64 - 2; I63.9 - 3  ,Nogādāšanas laiks PSKUS,"GKS skala, 1 - nav izvērtēts","FastTest skala: N Negatīvs - 1; P>60 Pozitīvs, lielo asinsvadu oklūzijas iespējamība ≥ 60% - 2; P<15 Pozitīvs, lielo asinsvadu oklūzijas iespējamība <15% - 3; P>30 Pozitīvs, lielo asinsvadu oklūzijas iespējamība ap 30% - 4; nav izvērtēts - 5",Uzņemšanas rezultāts,Pārvests uz,Karte,Personas kods,Iestāšanās diagnoze,Iestāšanās diagnozes nosaukums,Izrakstīšanas diagnoze,Izrakstīšanas diagnozes nosaukums,Iestāšanās laiks,Izrakstīšanas laiks,Izr_dat,Izr_mēn,Izr_gads,Izr_kustība,Izr_kustības nosaukums,Izr_nodaļa,Izr_nodaļas nosaukums,Izr_profils,Izr_profila nosaukums,Pacienta uzvārds
2024-11-14 23:18:00,78,1,,3,2024-11-15 01:36:00,9,3,Hospitalized,icu,K202400079,190423-60911,I63.9,"Cerebral infarction, unspecified",I21.9,"Acute myocardial infarction, unspecified",2024-11-15 02:12:00,2024-11-20 13:12:00,20,11,2024,1,Discharged home,303,ICU,20,Intensīvā terapija,Ozols
04/12/2024 18:46,46,1,,3,2024-12-04 19:04:00,14,1,Hospitalized,Another hospital,K202400080,280978-57826,I63.9,"Cerebral infarction, unspecified",I50.9,"Heart failure, unspecified",04/12/2024 19:28,2024-12-12 00:28:00,12,12,2024,1,Discharged home,101,Neurology ward,10,Neurology,Vītola
12/09/2024 08:59,69,2,,1,12.09.2024 09:17,9,5,Hospitalized,Stroke unit,K202400081,080255-55457,G45.9,"Transient cerebral ischemic attack, unspecified",I64,"Stroke, not specified as hemorrhage or infarction",2024-09-12 09:56:00,2024-09-25 18:56:00,25,13,2024,1,Discharged home,202,Stroke unit,30,Internal medicine,Liepiņa
2025-05-26 12:25:00,76,1,,3,2025-05-26 15:10:00,13,5,Outpatient,Stroke unit,K202500082,060749-19830,I63.9,"Cerebral infarction, unspecified",G40.9,"Epilepsy, unspecified",2025-05-26 15:54:00,2025-05-27 09:54:00,27,5,2025,1,Discharged home,404,Admission ward,10,Neurology,Krūmiņa
2024-03-13 06:53:00,91,2,,1,2024-03-13 08:43:00,9,2,Hospitalized,,K202400083,260533-62096,G45.9,"Transient cerebral ischemic attack, unspecified",A41.9,"Sepsis, unspecified organism",2024-03-13 08:46:00,2024-03-14 05:46:00,14,3,2024,1,Discharged home,202,Stroke unit,10,Neurology,Liepiņš
27/11/2024 08:08,65,2,,3,27/11/2024 10:13,12,5,Hospitalized,Stroke unit,K202400084,060859-31910,I63.9,"Cerebral infarction, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",27/11/2024 10:50,06/12/2024 04:50,6,12,2024,4,Continues treatment,202,Stroke unit,10,Neurology,Jansone
2025-09-03 01:52:00,61,1,,1,2025-09-03 04:40:00,13,5,Outpatient,Home,K202500085, 190864-89817 ,G45.9,"Transient cerebral ischemic attack, unspecified",S72.0,Fracture of neck of femur,03/09/2025 05:20,14/09/2025 23:20,31,9,2025,4,Continues treatment,303,ICU,20,Intensīvā terapija,Bērziņa
2025-03-13 14:33:00,65,2,,3,2025-03-13 16:13:00,12,3,Hospitalized,Another hospital,K202500086,170160-30836,I63.9,"Cerebral infarction, unspecified",I64,"Stroke, not specified as hemorrhage or infarction",2025-03-13 16:33:00,2025-03-22 16:33:00,22,3,2025,4,Continues treatment,303,ICU,20,Intensīvā terapija,Kļaviņa
2024-12-18 08:20:00,83,2,,,2024-12-18 10:39:00,11,5,Outpatient,ICU,K202400087,220441-37096,G45.9,"Transient cerebral ischemic attack, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",18.12.2024 11:19,2024-12-24 20:19:00,24,12,2024,1,Discharged home,101,Neurology ward,10,Neurology,Bērziņa
2024-05-29 00:04:00,38,2,,3 ,29/05/2024 02:54,8,4,Hospitalized,,K202400088,020420-88647,I63.9,"Cerebral infarction, unspecified",I21.9,"Acute myocardial infarction, unspecified",2024-05-29 03:35:00,05.06.2024 09:35,5,6,2024,4,Continues treatment,101,Neurology ward,30,Internal medicine,Miezītis
2024-09-20 19:09:00,65,2,,1,2024-09-20 20:33:00,13,1,Hospitalized,Stroke unit,K202400089,120659-44152,G45.9,"Transient cerebral ischemic attack, unspecified",J18.9,"Pneumonia, unspecified organism",2024-09-20 21:11:00,2024-09-28 18:11:00,28,9,2024,1,Discharged home,303,ICU,20,Intensīvā terapija,Krūmiņa
2025-10-28 09:16:00,78,2,,3,2025-10-28 11:38:00,1,1,Hospitalized,neurology,K202500090,141147-62873,I63.9,"Cerebral infarction, unspecified",G93.4,"Encephalopathy, unspecified",2025-10-28 12:02:00,2025-11-01 10:02:00,1,11,2025,2,Transferred to another hospital,101,Neurology ward,10,Neurology,Siliņš
2025-02-27 13:10:00,73,2,,2,2025-02-27 14:02:00,15,3,Hospitalized,neurology,K202500091,171052-32149,I64,"Stroke, not specified as hemorrhage or infarction",E11.9,Type 2 diabetes mellitus without complications,2025-02-27 14:26:00,2025-03-08 12:26:00,8,3,2025,1,Discharged home,101,Neurology ward,10,Neurology,Bērziņš
14/03/2025 12:46,84,1,,3,2025-03-14 14:13:00,11,1,Hospitalized,Neurology,K202500092,27054178569,I63.9,"Cerebral infarction, unspecified",I50.9,"Heart failure, unspecified",14/03/2025 14:55,20.03.2025 22:55,20,3,2025,1,Discharged home,101,Neurology ward,10,Neurology,Jansone
2024-12-02 15:38:00,62,2,,2,02.12.2024 16:08,13,5,Transferred,Stroke unit,K202400093,220362-94829,I64,"Stroke, not specified as hemorrhage or infarction",S72.0,Fracture of neck of femur,2024-12-02 16:17:00,2024-12-05 11:17:00,5,12,2024,1,Discharged home,303,ICU,20,Intensīvā terapija,Vītola
2024-08-20 03:16:00,67,2,,3,20.08.2024 05:26,11,4,Transferred,Home,K202400094,210557-51187,I63.9,"Cerebral infarction, unspecified",I21.9,"Acute myocardial infarction, unspecified",2024-08-20 05:40:00,2024-08-23 07:40:00,23,8,2024,2,Transferred to another hospital,202,Stroke unit,30,Internal medicine,Kalniņš
20.03.2024 11:13,92,2,,3,2024-03-20 12:13:00,12,2,Hospitalized,neurology,K202400095,151007-21536,I63.9,"Cerebral infarction, unspecified",K35.8,"Acute appendicitis, other and unspecified",20/03/2024 12:20,2024-04-01 13:20:00,1,4,2024,2,Transferred to another hospital,202,Stroke unit,10,Neurology,Grīnbergs
2025-10-23 20:31:00,52,2,,3,2025-10-23 22:22:00,3,4,Hospitalized,Home,K202500096,050873-63636,I63.9,"Cerebral infarction, unspecified",J18.9,"Pneumonia, unspecified organism",23/10/2025 22:53,30.10.2025 11:53,30,10,2025,2,Transferred to another hospital,202,Stroke unit,10,Neurology,Petrovs
2024-03-11 17:42:00,75,2,,3,2024-03-11 20:03:00,13,5,Hospitalized,Home,K202400097,200749-42537,I63.9,"Cerebral infarction, unspecified",I63.9,"Cerebral infarction, unspecified",11.03.2024 20:38,14.03.2024 09:38,14,3,2024,1,Discharged home,202,Stroke unit,30,Internal medicine,Lapiņš
2024-09-15 23:00:00,75,2,,3,2024-09-16 00:48:00,10,3,Hospitalized,ICU,K202400098,010249-59921,I63.9,"Cerebral infarction, unspecified",I64,"Stroke, not specified as hemorrhage or infarction",16.09.2024 01:26,2024-09-27 18:26:00,27,9,2024,1,Discharged home,303,ICU,20,Intensīvā terapija,Miezītis
12/12/2024 00:33,72,2,,3,2024-12-12 01:03:00,9,5,Died in admission unit,Stroke unit,K202400099,270852-39563,I63.9,"Cerebral infarction, unspecified",J18.9,"Pneumonia, unspecified organism",2024-12-12 01:30:00,2024-12-12 13:30:00,12,12,2024,3,Died in hospital,303,ICU,20,Intensīvā terapija,Vītola
2025-01-06 09:27:00,92,1,,1,06/01/2025 11:07,1,5,Hospitalized,Neurology,K202500100,030924-76209,G45.9,"Transient cerebral ischemic attack, unspecified",G51.0,Bell's palsy,2025-01-06 11:48:00,2025-01-19 00:48:00,19,1,2025,2,Transferred to another hospital,101,Neurology ward,30,Internal medicine,Petrovs
2024-12-21 02:22:00,53,2,,2,2024-12-21 03:09:00,7,4,Hospitalized,Home,K202400101,110471-77357,I64,"Stroke, not specified as hemorrhage or infarction",G40.9,"Epilepsy, unspecified",21.12.2024 03:36,2025-01-01 10:36:00,1,1,2025,4,Continues treatment,202,Stroke unit,10,Neurology,Bērziņa
2024-02-04 14:13:00,66,2,,1,2024-02-04 14:49:00,5,2,Transferred,Another hospital,K202400102,041158-80101,G45.9,"Transient cerebral ischemic attack, unspecified",I21.9,"Acute myocardial infarction, unspecified",2024-02-04 14:55:00,2024-02-13 14:55:00,13,2,2024,,Discharged home,202,Stroke unit,30,Internal medicine,Lapiņš
2025-03-05 14:14:00,67,1,,2,2025-03-05 17:17:00,15,1,Hospitalized,Stroke unit,K202500103,241258-55069,I64,"Stroke, not specified as hemorrhage or infarction",I64,"Stroke, not specified as hemorrhage or infarction",2025-03-05 17:43:00,18.03.2025 18:43,18,3,2025,1,Discharged home,202,Stroke unit,10,Neurology,Liepiņa
2025-12-10 12:32:00,61,2,,1,10.12.2025 15:37,3,3,Hospitalized,Stroke unit,K202500104,010364-51053,G45.9,"Transient cerebral ischemic attack, unspecified",E11.9,Type 2 diabetes mellitus without complications,2025-12-10 15:55:00,2025-12-25 00:55:00,25,12,2025,1,Discharged home,202,Stroke unit,30,Internal medicine,Siliņš
21/04/2024 08:33,69,1,,3,2024-04-21 11:32:00,13,3,hospitalized,Stroke unit,K202400105,130655-39269,I63.9,"Cerebral infarction, unspecified",I21.9,"Acute myocardial infarction, unspecified",2024-04-21 11:36:00,2024-04-27 08:36:00,27,4,2024,2,Transferred to another hospital,404,Admission ward,30,Internal medicine,Jansons
2025-12-05 03:40:00,77,1,,2,2025-12-05 06:02:00,1,2,Hospitalized,Another hospital,K202500106,040648-78337,I64,"Stroke, not specified as hemorrhage or infarction",I64,"Stroke, not specified as hemorrhage or infarction",2025-12-05 06:19:00,13/12/2025 06:19,13,12,2025,1,Discharged home,404,Admission ward,10,Neurology,bērziņa
2025-10-02 15:34:00,96,1,,3,2025-10-02 17:03:00,4,1,Transferred,ICU,K202500107,190429-31134,I63.9,"Cerebral infarction, unspecified",I50.9,"Heart failure, unspecified",02/10/2025 17:19,2025-10-11 21:19:00,11,10,2025,4,Continues treatment,202,Stroke unit,30,Internal medicine,Avotiņš
2024-11-11 10:29:00,74,2,x,3,2024-11-11 11:30:00,13,3,Transferred,Stroke unit,K202400108,080250-59572,I63.9,"Cerebral infarction, unspecified",I64,"Stroke, not specified as hemorrhage or infarction",2024-11-11 11:47:00,25.11.2024 20:47,25,11,2024,2,Transferred to another hospital,101,Neurology ward,30,Internal medicine,Romanovs
20.09.2025 09:54,75,2,,3,20.09.2025 12:27,7,4,transferred,Neurology,K202500109,100250-88419,I63.9,"Cerebral infarction, unspecified",I21.9,"Acute myocardial infarction, unspecified",2025-09-20 12:57:00,2025-10-03 02:57:00,3,10,2025,1,Discharged home,101,Neurology ward,30,Internal medicine,Balode
2025-08-01 20:01:00,71,2,,3,2025-08-01 22:41:00,5,3,Died in admission unit,Neurology,K202500110,041154-40116,I63.9,"Cerebral infarction, unspecified",R56.8,Other and unspecified convulsions,01/08/2025 23:14,2025-08-02 11:14:00,2,8,2025,3,Died in hospital,303,ICU,20,Intensīvā terapija,Vītola
2024-02-24 23:38:00,47,2,,3,2024-02-25 02:09:00,12,3,Hospitalized,Neurology,K202400111,171077-77608,I63.9,"Cerebral infarction, unspecified",I64,"Stroke, not specified as hemorrhage or infarction",2024-02-25 02:30:00,2024-02-29 17:30:00, 7,2,2024,4,Continues treatment,404,Admission ward,30,Internal medicine,Petrova
06/02/2025 16:38,71,1,x,3,06/02/2025 18:39,1,1,Hospitalized,neurology,K202500112,091054-68034,I63.9,"Cerebral infarction, unspecified",J18.9,"Pneumonia, unspecified organism",2025-02-06 19:18:00,14.02.2025 09:18,14,2,2025,4,Continues treatment,303,ICU,20,Intensīvā terapija,Kļaviņa
18.01.2025 12:44,72,1,,2,2025-01-18 14:29:00,11,1,Hospitalized,Neurology,K202500113,240453-41726,I64,"Stroke, not specified as hemorrhage or infarction",S72.0,Fracture of neck of femur,2025-01-18 14:36:00,22.01.2025 19:36,22,1,2025,4,Continues treatment,202,Stroke unit,10,Neurology,Kļaviņš
2025-02-04 02:36:00,99,2,,2,2025-02-04 05:21:00,1,4,Hospitalized,Neurology,K202500114,171226-70302,I64,"Stroke, not specified as hemorrhage or infarction",G45.9,"Transient cerebral ischemic attack, unspecified",2025-02-04 05:32:00,2025-02-12 22:32:00,12,2,2025,4,Continues treatment,303,ICU,20,Intensīvā terapija,Liepiņš
09.07.2024 23:38,69,1,,3,2024-07-10 01:05:00,11,5,Transferred,ICU,K202400115,171155-79990,I63.9,"Cerebral infarction, unspecified",I21.9,"Acute myocardial infarction, unspecified",2024-07-10 01:23:00,2024-07-20 11:23:00,20,7,2024,4,Continues treatment,101,Neurology ward,,Internal medicine,Krūmiņa
2024-10-16 18:05:00,75,1,,3,2024-10-16 19:35:00,8,3,Hospitalized,Stroke unit,K202400116,140649-92742,I63.9,"Cerebral infarction, unspecified",I63.9,"Cerebral infarction, unspecified",16/10/2024 20:00,30.10.2024 06:00,30,10,2024,1,Discharged home,202,Stroke unit,10,Neurology,Bērziņa
2024-12-07 16:48:00,71,1,,2,2024-12-07 18:47:00,3,5,Hospitalized,Home,K202400117,131153-50549,I64,"Stroke, not specified as hemorrhage or infarction",G93.4,"Encephalopathy, unspecified",07/12/2024 18:56,2024-12-19 06:56:00,19,12,2024,4,Continues treatment,101,Neurology ward,30,Internal medicine,Kalniņš
2025-09-25 11:33:00,56,2,,3,2025-09-25 13:54:00,7,1,Hospitalized,icu,K202500118,160569-80136,I63.9,"Cerebral infarction, unspecified",I61.9,"Intracerebral hemorrhage, unspecified",25/09/2025 14:31,2025-09-26 03:31:00,26,9,2025,1,Discharged home,303,ICU,20,Intensīvā terapija,Eglītis
2025-01-30 22:22:00,86,1,?,2,2025-01-30 22:57:00,4,1,Hospitalized,ICU,K202500119,100239-45283,I64,"Stroke, not specified as hemorrhage or infarction",I64,"Stroke, not specified as hemorrhage or infarction",30.01.2025 23:11,2025-02-10 18:11:00,10,2,2025,1,Discharged home,101,Neurology ward,10,Neurology,Petrovs
30.12.2024 04:54,81,1,,1,2024-12-30 06:15:00,13,2,transferred,Neurology,K202400120,060643-92465,G45.9,"Transient cerebral ischemic attack, unspecified",G40.9,"Epilepsy, unspecified",2024-12-30 06:42:00,2025-01-01 14:42:00,1,1,2025,2,Transferred to another hospital,,Admission ward,30,Internal medicine,Balodis
13.08.2024 17:21,82,1,,2,2024-08-13 19:46:00,12,2,Hospitalized,Stroke unit,K202400121,180642-94495,I64,"Stroke, not specified as hemorrhage or infarction",I64,"Stroke, not specified as hemorrhage or infarction",2024-08-13 19:54:00,2024-08-17 09:54:00,17,8,2024,4,Continues treatment,303,ICU,20,Intensīvā terapija,Vītols
2024-08-21 12:24:00,60,1,,2,2024-08-21 13:49:00,9,1,Hospitalized,Stroke unit,K202400122,18116460789,I64,"Stroke, not specified as hemorrhage or infarction",G40.9,"Epilepsy, unspecified",2024-08-21 14:26:00,2024-08-22 07:26:00,22,8,2024,2,Transferred to another hospital,202,Stroke unit,10,Neurology,Kalniņš
2025-01-07 17:42:00,41,1,,3,2025-01-07 18:18:00,14,1,Transferred,Stroke unit,K202500123,021235-90862,I63.9,"Cerebral infarction, unspecified",E11.9,Type 2 diabetes mellitus without complications,2025-01-07 18:21:00,2025-01-21 17:21:00,21,1,2025,1,Discharged home,202,Stroke unit,30,Internal medicine,Petrova
2025-09-13 23:21:00,53,1,,3,14/09/2025 01:59,10,4,Hospitalized,Another hospital,K202500124,270772-52395,I63.9,"Cerebral infarction, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",14/09/2025 02:27,2025-09-21 03:27:00,21,9,2025,2,Transferred to another hospital,404,Admission ward,30,Internal medicine,
2025-02-05 21:24:00,79,1,,1,05/02/2025 23:39,5,2,Hospitalized,Home,K202500125,260646-73246,G45.9,"Transient cerebral ischemic attack, unspecified",G40.9,"Epilepsy, unspecified",2025-02-06 00:04:00,08.02.2025 07:04,8,2,2025,2,Transferred to another hospital,202,Stroke unit,10,Neurology,Liepiņa
2024-01-17 15:39:00,99,2,,1,2024-01-17 18:11:00,8,3,Hospitalized,Stroke unit,K202400126,030925-39109,G45.9,"Transient cerebral ischemic attack, unspecified",G51.0,Bell's palsy,2024-01-17 18:16:00,01.02.2024 10:16,1,2,2024,4,Continues treatment,202,Stroke unit,30,Internal medicine,Romanovs
2024-12-18 21:31:00,59,2,,2,2024-12-19 00:16:00,3,2,Hospitalized,Stroke unit,K202400127,200865-29112,I64,"Stroke, not specified as hemorrhage or infarction",A41.9,"Sepsis, unspecified organism",2024-12-19 00:24:00,02.01.2025 07:24,2,1,2025,1,Discharged home,202,Stroke unit,30,Internal medicine,Petrova
2024-11-04 13:34:00,64,2,,3,2024-11-04 16:31:00,12,4,Transferred,Neurology,K202400128,030160-60940,I63.9,"Cerebral infarction, unspecified",I61.9,"Intracerebral hemorrhage, unspecified",04.11.2024 16:43,10/11/2024 10:43,10,11,2024,1,Discharged home,202,Stroke unit,30,Internal medicine,Bērziņa
2024-02-27 21:26:00,73,2,,2,27.02.2024 23:24,1,4,Hospitalized,Another hospital,K202400129,180151-46725,I64,"Stroke, not specified as hemorrhage or infarction",I63.9,"Cerebral infarction, unspecified",2024-02-27 23:37:00,2024-03-09 23:37:00,9,3,2024,1,Discharged home,101,Neurology ward,30,Internal medicine,Krūmiņa
21.10.2024 15:15,65,2,,3,2024-10-21 17:47:00,10,5,Hospitalized,Neurology,K202400130,240359-13864,I63.9,"Cerebral infarction, unspecified",S72.0,Fracture of neck of femur,2024-10-21 17:58:00,2024-10-25 09:58:00,25,10,2024,1,Discharged home,202,Stroke unit,10,Neurology,Kļaviņa
07/06/2025 05:05,51,2,,1,07/06/2025 07:57,12,2,Hospitalized,Stroke unit,K202500131,080774-97993,G45.9,"Transient cerebral ischemic attack, unspecified",G40.9,"Epilepsy, unspecified",2025-06-07 08:30:00,2025-06-12 11:30:00,12,6,2025,1,Discharged home,303,ICU,20,Intensīvā terapija,Krūmiņš
2024-02-26 02:05:00,72,2,,3,2024-02-26 02:33:00,10,2,Hospitalized,Neurology,K202400132,150552-31821,I63.9,"Cerebral infarction, unspecified",G40.9,"Epilepsy, unspecified",26/02/2024 02:51,2024-03-10 20:51:00,10,3,2024,3,Died in hospital,101,Neurology ward,30,Internal medicine,Balodis
24.10.2025 04:19,58,2,,3,2025-10-24 05:18:00,3,4,Hospitalized,ICU,K202500133,190667-96445,I63.9,"Cerebral infarction, unspecified",K35.8,"Acute appendicitis, other and unspecified",24/10/2025 05:28,04/11/2025 10:28,31,13,2025,2,Transferred to another hospital,202 ,Neurology ward,30,Internal medicine,Petrovs
23.11.2025 19:20,78,2,,1,2025-11-23 22:11:00,7,3,Hospitalized,Home,K202500134,220147-85771,G45.9,"Transient cerebral ischemic attack, unspecified",I63.9,"Cerebral infarction, unspecified",23.11.2025 22:14,2025-11-25 07:14:00,25,11,2025,1,Discharged home,101,Neurology ward,30,Internal medicine,Vītola
2024-04-08 13:07:00,60,1,,2,2024-04-08 13:59:00,12,2,Hospitalized,ICU,K202400135,261064-47642,I64,"Stroke, not specified as hemorrhage or infarction",I61.9,"Intracerebral hemorrhage, unspecified",08.04.2024 14:09,21/04/2024 23:09,21,4,2024,1,Discharged home,202,Stroke unit,10,Neurology,Kalniņa
2024-10-28 22:44:00,92,2,,2,2024-10-29 00:27:00,11,4,Hospitalized,Stroke unit,K202400136,11113254742,I64,"Stroke, not specified as hemorrhage or infarction",I64,"Stroke, not specified as hemorrhage or infarction",2024-10-29 00:52:00,2024-10-30 18:52:00,30,10,2024,1,Discharged home,202,Stroke unit,30,Internal medicine,Liepiņš
11.03.2025 22:49,61,2,,3,2025-03-11 23:11:00,11,2,Hospitalized,Stroke unit,K202500137,200364-25315,I63.9,"Cerebral infarction, unspecified",G40.9,"Epilepsy, unspecified",2025-03-11 23:27:00,2025-03-12 22:27:00,12,3,2025,1,Discharged home,202,Stroke unit,10 ,Neurology,Lapiņš
12.08.2024 09:24,67,2,,3,12.08.2024 11:56,13,5,Hospitalized,Stroke unit,K202400138,220157-87894,I63.9,"Cerebral infarction, unspecified",I63.9,"Cerebral infarction, unspecified",2024-08-12 12:18:00,2024-08-13 14:18:00,13,8,2024,1,Discharged home,202,Stroke unit,10,Neurology,Balode
2024-05-29 02:16:00,82,2,,3,2024-05-29 03:43:00,15,4,Hospitalized,Stroke unit,K202400139,040142-60279,I63.9,"Cerebral infarction, unspecified",G51.0,Bell's palsy,29.05.2024 03:55,2024-06-05 16:55:00,5,6,2024,2,Transferred to another hospital,101,Neurology ward,10,Neurology,Ozoliņa
2025-11-12 23:25:00,55,2,,3,2025-11-13 01:42:00,7,1,Hospitalized,Stroke unit,K202500140,160270-24796,I63.9,"Cerebral infarction, unspecified",G51.0,Bell's palsy,2025-11-13 02:15:00,17.11.2025 07:15,17,11,2025,4,Continues treatment,202,Stroke unit,30,Internal medicine,Bērziņš
11/05/2025 04:49,20,2,,3,11.05.2025 06:58,13,3,Hospitalized,Stroke unit,K202500141,060851-50374,I63.9,"Cerebral infarction, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",2025-05-11 07:37:00,23.05.2025 20:37,23,5,2025,4,Continues treatment,101,Neurology ward,30,Internal medicine,Liepiņš
26.10.2024 12:23,88,2,,2,26.10.2024 13:58,12,5,Hospitalized,Another hospital,K202400142,020936-10110,I64,"Stroke, not specified as hemorrhage or infarction",I63.9,"Cerebral infarction, unspecified",2024-10-26 14:28:00,2024-11-04 12:28:00,4,11,2024,4,Continues treatment,303,ICU,20,Intensīvā terapija,Krūmiņa
01.07.2024 20:15,51,1,,3,2024-07-01 21:09:00,12,5,Hospitalized,Home,K202400143,140973-82358,I63.9,"Cerebral infarction, unspecified",N39.0,"Urinary tract infection, site not specified",2024-07-01 21:43:00,2024-07-11 22:43:00,11,7,2024,4,Continues treatment,202,Stroke unit,30,Internal medicine,Grīnbergs
2025-02-10 22:26:00,74,1,,3,11/02/2025 01:20,7,4,transferred,ICU,K202500144,160151-69511,I63.9,"Cerebral infarction, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",2025-02-11 01:28:00,2025-02-22 21:28:00,22,2,2025,4,Continues treatment,202,Stroke unit,10,Neurology,Pavlovs
2024-04-30 03:56:00,75,2,,3,2024-04-30 05:25:00,4,2,Outpatient,Neurology,K202400145,081249-73559,I63.9,"Cerebral infarction, unspecified",G51.0,Bell's palsy,2024-04-30 05:44:00,13.05.2024 03:44,13,5,2024,4,Continues treatment,202,Stroke unit,30,Internal medicine,Krūmiņš
2025-11-06 18:29:00,82,2,,3,2025-11-06 21:03:00,9,4,Hospitalized,Home,K202500146,220943-15376,I63.9,"Cerebral infarction, unspecified",I61.9,"Intracerebral hemorrhage, unspecified",2025-11-06 21:20:00,2025-11-07 11:20:00,7,11,2025,1,Discharged home,303,ICU,20,Intensīvā terapija,Ivanovs
2025-04-01 05:34:00,55,1,x,3,2025-04-01 05:55:00,3,1,Hospitalized,Stroke unit,K202500147,200470-93634,I63.9,"Cerebral infarction, unspecified",I64,"Stroke, not specified as hemorrhage or infarction",2025-04-01 06:24:00,2025-04-05 16:24:00,5,4,2025,1,Discharged home,202,Stroke unit,10,Neurology,Krūmiņa
15.04.2025 23:47,54,1,,2,16.04.2025 00:20,9,5,Transferred,Stroke unit,K202500148,050271-80861,I64,"Stroke, not specified as hemorrhage or infarction",I63.9,"Cerebral infarction, unspecified",16/04/2025 00:47,2025-04-17 19:47:00,17,4,2025,2,Transferred to another hospital,404,Admission ward,30,Internal medicine,Avotiņš
2025-12-15 14:29:00,78,2,,3,15.12.2025 15:04,7,2,outpatient,Stroke unit,K202500149,031147-57887,I63.9,"Cerebral infarction, unspecified",G93.4,"Encephalopathy, unspecified",2025-12-15 15:41:00,2025-12-27 09:41:00,27,12,2025,4,Continues treatment,202,Stroke unit,,Internal medicine,Bērziņa
2024-12-13 07:39:00,75,1,,3,13.12.2024 10:41,10,5,Died in admission unit,Stroke unit,K202400150,130149-25491,I63.9,"Cerebral infarction, unspecified",I21.9,"Acute myocardial infarction, unspecified",2024-12-13 11:03:00,2024-12-13 17:03:00,13,12,2024,3,Died in hospital,999,Admission ward,30,Internal medicine,Liepiņa
2024-05-21 16:36:00,75,1,,3,2024-05-21 17:10:00,3,3,Hospitalized,Stroke unit,K202400151,181049-28000,I63.9,"Cerebral infarction, unspecified",G51.0,Bell's palsy,2024-05-21 17:19:00,2024-05-29 05:19:00,29,5,2024,4,Continues treatment,404,Admission ward,30,Internal medicine,Ozoliņa
27.04.2024 13:27,39,1,x,3,2024-04-27 16:16:00,9,4,Hospitalized,Stroke unit,K202400152,200107-33593,I63.9,"Cerebral infarction, unspecified",G51.0,Bell's palsy,2024-04-27 16:37:00,11.05.2024 15:37,11,5,2024,1,Discharged home,202,Stroke unit,10,Neurology,Kalniņa
2024-08-05 07:31:00,63,2,,3,05.08.2024 08:29,14,1,Hospitalized,Stroke unit,K202400153,180161-33053,I63.9,"Cerebral infarction, unspecified",G93.4,"Encephalopathy, unspecified",05.08.2024 09:14,2024-08-18 20:14:00,18,8,2024,4,Continues treatment,303,ICU,20,Intensīvā terapija,Liepiņa
26.09.2025 18:35,75,2,,1,26.09.2025 20:28,10,1,Hospitalized,Stroke unit,K202500154,140850-32439,G45.9,"Transient cerebral ischemic attack, unspecified",R56.8,Other and unspecified convulsions,2025-09-26 20:39:00,2025-09-27 20:39:00,27,9,2025,4,Continues treatment,202 ,Neurology ward,10,Neurology,Grīnbergs
2025-04-21 15:49:00,75,2,,3,2025-04-21 18:38:00,14,5,Hospitalized,icu,K202500155,150250-74918,I63.9,"Cerebral infarction, unspecified",E11.9,Type 2 diabetes mellitus without complications,2025-04-21 18:50:00,2025-05-02 20:50:00,2,5,2025,1,Discharged home,202,Stroke unit,30,Internal medicine,Kalniņa
2025-11-07 04:18:00,62,1,,3,2025-11-07 04:54:00,14,5,Hospitalized,Stroke unit,K202500156,111063-17184,I63.9,"Cerebral infarction, unspecified",S72.0,Fracture of neck of femur,07.11.2025 05:21,2025-11-20 14:21:00,20,11,2025,2,Transferred to another hospital,303,ICU,20,Intensīvā terapija,Kalniņš
2024-11-01 12:49:00,96,1,,2,2024-11-01 14:15:00,12,2,Hospitalized,Neurology,K202400157,231128-18601,I64,"Stroke, not specified as hemorrhage or infarction",G51.0,Bell's palsy,2024-11-01 14:50:00,2024-11-13 03:50:00,13,13,2024,4,Continues treatment,202,Stroke unit,30,Internal medicine,Eglītis
2024-02-01 06:51:00,78,1,,1,01.02.2024 08:08,1,2,Hospitalized,Stroke unit,K202400158,260346-50172,G45.9,"Transient cerebral ischemic attack, unspecified",G40.9,"Epilepsy, unspecified",2024-02-01 08:44:00,2024-02-14 07:44:00,14,2,2024,4,Continues treatment,202,Stroke unit,30,Internal medicine,Romanovs
03/07/2024 04:34,56,2,?,2,2024-07-03 07:15:00,12,5,Hospitalized,Another hospital,K202400159,050668-10562,I64,"Stroke, not specified as hemorrhage or infarction",E11.9,Type 2 diabetes mellitus without complications,03.07.2024 07:20,15.07.2024 00:20,15,7,2024,1,Discharged home,404,Admission ward,30,Internal medicine,Grīnbergs
